packages/app/src/components/ArtifactsPanel.tsx(220,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(221,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(222,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/ArtifactsPanel.tsx(225,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(16,22): error TS2307: Cannot find module '@/components/link' or its corresponding type declarations.
packages/app/src/components/dialog-connect-provider.tsx(17,30): error TS2307: Cannot find module '@/context/global-sdk' or its corresponding type declarations.
packages/app/src/components/dialog-connect-provider.tsx(18,31): error TS2307: Cannot find module '@/context/global-sync' or its corresponding type declarations.
packages/app/src/components/dialog-connect-provider.tsx(19,29): error TS2307: Cannot find module '@/context/platform' or its corresponding type declarations.
packages/app/src/components/dialog-connect-provider.tsx(28,72): error TS7006: Parameter 'x' implicitly has an 'any' type.
packages/app/src/components/dialog-connect-provider.tsx(69,16): error TS7006: Parameter 'x' implicitly has an 'any' type.
packages/app/src/components/dialog-connect-provider.tsx(83,17): error TS7006: Parameter 'e' implicitly has an 'any' type.
packages/app/src/components/dialog-connect-provider.tsx(91,25): error TS2304: Cannot find name 'KeyboardEvent'.
packages/app/src/components/dialog-connect-provider.tsx(92,50): error TS2304: Cannot find name 'HTMLInputElement'.
packages/app/src/components/dialog-connect-provider.tsx(103,5): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/components/dialog-connect-provider.tsx(105,7): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
packages/app/src/components/dialog-connect-provider.tsx(138,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
packages/app/src/components/dialog-connect-provider.tsx(139,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(140,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(142,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(149,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(150,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(151,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(154,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(154,101): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(155,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(161,34): error TS2339: Property 'label' does not exist on type '{}'.
packages/app/src/components/dialog-connect-provider.tsx(168,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(169,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(170,25): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(171,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
packages/app/src/components/dialog-connect-provider.tsx(172,23): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
